common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Black Tern,Chlidonias niger,Chlidonias,niger,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Blackburnian Warbler,Dendroica fusca,Dendroica,fusca,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Black-capped Chickadee,Parus atricapillus,Parus,atricapillus,Paridae,2,0,0,0,0,1,0,2,0,0,0,2,0,1,0,1,0,9,2013
Blackpoll Warbler,Dendroica striata,Dendroica,striata,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Black-throated Green Warbler,Dendroica virens,Dendroica,virens,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Blue Jay,Cyanocitta cristata,Cyanocitta,cristata,Corvidae,3,0,0,0,0,1,0,2,0,3,2,2,0,2,0,0,0,15,2013
Blue-gray Gnatcatcher,Polioptila caerula,Polioptila,caerula,Polioptilidae,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2013
Blue-headed [solitary] Vireo,Vireo solitarius,Vireo,solitarius,Vireonidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
Blue-winged Teal,Anas discors,Anas,discors,Anatidae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013
Blue-winged Warbler,Vermivora pinus,Vermivora,pinus,Parulidae,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2013
Bobolink,Dolichonyx oryzivorus,Dolichonyx,oryzivorus,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
